categories                                     ;code                                      ;description
Equipment & Magic, Weapons, Daggers            ;Dagger                                    ;A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.
Equipment & Magic, Weapons, Daggers            ;Parrying Dagger                           ;A knife with curved handguards. Designed to parry, turning foes' attacks against them.  For master of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.
Equipment & Magic, Weapons, Daggers            ;Misericorde                               ;Dagger favored by military physicians in white.  Medicine is mercy. and mercy upon the battlefield is ruthless. Beware the killers clothes as men of compassion
Equipment & Magic, Weapons, Daggers            ;Great Knife                               ;Large knife with a broad, curved blade. This weapon is designed to Spinning Slash and rend, inflicting blood loss upon the recipient.
Equipment & Magic, Weapons, Daggers            ;Bloodstained Dagger                       ;Dagger with a bloodstained blade. Afflicts targets with blood loss. As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.
Equipment & Magic, Weapons, Daggers            ;Erdsteel Dagger                           ;An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace.  Though forged to a high standard, the weapon is difficult to wield.
Equipment & Magic, Weapons, Daggers            ;Wakizashi                                 ;Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as
Equipment & Magic, Weapons, Daggers            ;Celebrant's Sickle                        ;Sickle decorated with flowers and many-coloured fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Grants trace amounts of runes on landing attacks.
Equipment & Magic, Weapons, Daggers            ;Ivory Sickle                              ;Sickle fashioned form ivory.  These weapons are evidence of their dedication to the Haligtree, despite never having entered its presence.
Equipment & Magic, Weapons, Daggers            ;Crystal Knife                             ;A knife made by sharpening hard crystal. Used as a tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade.
