code                             ;description                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;natural language time tuple
Celebrant's Sickle               ;Sickle decorated with flowers and many-coloured fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Grants trace amounts of runes on landing attacks.                                                                                                                                                                                                                                                ;Celebrant's Sickle is used by dancers DURING festivities of Dominula
Cinquedea                        ;Short sword given to high ranking clergymen of Farum Azula. Raises potency of bestial incantations. The design celebrates a beast's five fingers, symbolic of the intelligence once granted upon their kind.                                                                                                                                                                                                                                                                 ;Beasts are granted intelligence
Glintstone Kris                  ;Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace.  Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual.                                                                                                                                                                                                                ;Leyndell and Academy of Raya Lucaria make peace
Black Knife                      ;Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives.  A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.                                                                                                                                                                                                                                                        ;Assassins murder Godwyn
Lordsworn's Straight Sword       ;Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army. Though blackened and damaged by years of use, it appears to have otherwise been kept in a servicable condition, despite the soldiers having long since lost their minds.                                                                                                                                                                                                       ;Soldiers lose their mind
Miquellan Knight's Sword         ;Sword forged by servants of Miquella of the Haligtree, with a design modeled after those carried by Carian knights. Instead of glintstone however, amber from the Haligtree is embedded in the blade.                                                                                                                                                                                                                                                                        ;Miquellan Knight's Sword is created AFTER Carian Knights exist
Ornamental Straight Sword        ;Slender straight sword patterned after an antique ornament. After falling from grace, the dregs of the golden lineage sought power and purpose in the past.                                                                                                                                                                                                                                                                                                                  ;Dregs of the Golden Lineage search for purpose in the past AFTER Dregs of the Golden Lineage fall from grace
Coded Sword                      ;Hidden sword once granted to the Tarnished of the Roundtable by the Two Fingers. A formless cipher comprises its blade, which deals holy damage no shield can repel. Champions would gather at the Roundtable Hold in days long past, when the Two Fingers were masters of oration, their flesh yet full of vigor.                                                                                                                                                           ;Champions gathering at the Roundtable Hold DURING Two Fingers are masters of oration
Lordsworn's Greatsword           ;Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army. Through blackened and damaged by years of use, it appears to have otherwise been kept in a serviceable condition, despite the soldiers having long since lost their minds.                                                                                                                                                                                                     ;Soldiers lose their minds
Helphen's Steeple                ;Greatsword patterned after the black steeple of the Helphen, the lampwood which guides the dead of the spirit world. The lamplight is similar to grace in appearance, only it is said that it can only be seen by those who met their death in battle.                                                                                                                                                                                                                       ;Helphen's Steeple is created AFTER black steeple of the Helphen exists
Golden Order Greatsword          ;Greatsword made of light, modeled after the Elden Ring itself.                                                                                                                                                                                                                                                                                                                                                                                                               ;Golden Order Greatsword is created AFTER Elden Ring exists
Troll's Golden Sword             ;Sword given to the lesser giants who fought for the Erdtree  during the War against the Giants long ago. Though the giants have lost their minds, they stay inseparable from their  swords that are in sad shape—such that the gold plating had flaked away.                                                                                                                                                                                                                 ;lesser giants fight for the Erdtree DURING War against the giants
Starscourge Greatsword           ;Curved greatswords of black steel wielded by General Radahn. A pair of weapons decorated with a lion mane motif. Radahn earned considerable renown as the Starscourge in this youth, and it is said that it was during this time he engraved the gravity crest up these blades.                                                                                                                                                                                              ;Radahn earns considerable renown as the Starscourge DURING Radahn's youth
Godslayer's Greatsword           ;Sacred sword of the Gloam-Eyed Queen who controlled the Godskin Apostles before her defeat at the hands of Maliketh. The black flames wielded by the apostles are channeled from this sword.                                                                                                                                                                                                                                                                                 ;Gloam Eyed Queen controls the Godskin Apostles BEFORE Gloam Eyed Queen is defeated by Maliketh
Maliketh's Black Blade           ;Maliketh's black blade which once harbored the power of the Rune of Death. A sad shadow of its former glory. After a fragment of Death was stolen on that fateful night, Maliketh bound the blade within his own flesh, such that none might ever rob Death again.                                                                                                                                                                                                           ;Maliketh binds the blade within his own flesh AFTER a fragment of Death was stolen on that fateful night
Zamor Curved Sword               ;Weapon wielded by the knights of Zamor who earned great renown during the War against the Giants. In apparent devotion to winter, the curved blade is styled after an icy wind and imbued with a powerful frost effect.                                                                                                                                                                                                                                                      ;Knights of Zamor earn great renown DURING War against the giants
Magma Wyrm's Scalesword          ;Curved greatsword wielded by Magma Wyrms. The shape resembles a dragon's jaw and is covered in hard scales. It's said these land-bound dragons were once humans heroes who partook in dragon communion, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves.                                                                                                                                              ;Magma Wyrms are human heroes BEFORE Magma Wyrms partake in Dragon communion
Celebrant's Cleaver              ;Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.                                                                                                                                                                                                                                                              ;Celebrant's Cleaver is used by dancers DURING festivities of Dominula
Sacrificial Axe                  ;Hatchet used in ancient sacrificial rite. A Deathbird is depicted as a malevolent deity. The power of the rite yet lingers. A small amount of FP is restored upon slaying a foe.                                                                                                                                                                                                                                                                                             ;Sacrificial Axe is used in ancient sacrificial rite
Ripple Blade                     ;Unique weapon wielded by young Albinaurics, this sword is modelled after the ripples that are thought to be the origin of their species. Its attack power is greatly enhanced with one's arcane attribute.                                                                                                                                                                                                                                                                   ;Ripple Blade is created AFTER Albinaurics exist
Celebrant's Skull                ;Large bludgeon ecorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of  Dominula, Windmill Village. The striking end is a skull too large in size to be human. Grants trace amounts of runes on landing attacks.                                                                                                                                                                                                           ;Celebrant's Skull is used by dancers DURING festivities of Dominula
Troll's Hammer                   ;Mining tool of stonedigger trolls used to crack bedrock.  Trolls are descended from the giants, and these were supposedly once used as ceremonial smithing tools. In the distant past, smithing was considered divine.                                                                                                                                                                                                                                                       ;Giants consider smithing divine
Axe of Godfrey                   ;Weapon of Godfrey, Elden Lord. It was broken in a battle fought as leader of the Tarnished during the Long March. This weapon is symbolic of Godfrey's vow to conduct himself as a lord, later becoming an emblem of the golden lineage. In the days of the past, a crown was warranted with strength.                                                                                                                                                                       ;Axe of Godfrey breaks DURING Long March
Celebrant's Rib-Rake             ;Rake decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.                                                                                                                                                                                                                                                                 ;Celebrant's Rib-Rake is used by dancers DURING festivities of Dominula
Bolt of Gransax                  ;Spear whittled from the weapon wielded by Gransax. A great ancient dragon, Gransax once rained calamity upon the Royal Capital - the only time in historical record that Leyndell's walls have fallen. This marked the dawn of the war against dragons.                                                                                                                                                                                                                      ;Gransac rains calamity on the Leyndell BEFORE War against the Dragons
